id,account_number,balance,owner_id,bank_country
6e9d8228-7725-481d-91ee-fb798977be10,GB39OKFE89012901677213,476067.82,069358f5-16fc-4387-85ce-a01dac02a60e,ME
1059b219-88a3-4db0-821e-930700cd6e0e,GB59RTLG15701263665289,458956.22,eee17c41-294a-404e-8cf3-9aa4989cbb4b,AZ
236d3d97-3252-411a-985a-d0e4e8b1d14f,GB16BGKT01790843809146,296005.83,ebe4e18c-ae70-4312-ba10-57f4091961cb,AM
91243f84-2358-4995-b8bc-c82b592903fa,GB97ZLZQ45042714941045,313065.93,ae6618cb-a814-4856-9779-9e79af8a0169,CN
86e0b7fc-d6dc-41f6-98ff-6113320b0961,GB83UXEW24655643730964,276036.97,14bc0230-11df-41ee-88c7-344f36583643,CD
56ed0757-8d1c-4ca0-956c-d88c0f32798f,GB61EIHS98398564888985,487852.1,6e19331a-2731-42f1-8466-2fad73ba2b0b,MD
09dbabd7-b534-41cd-b959-1085b971bdee,GB98OOVO72822822942753,657589.29,42e8e718-647b-4c43-a36a-142a0bdb0fce,PA
69ff1641-adf2-4a88-8bea-c95bd2e9041a,GB89REUH65555666299902,669118.13,fbae557d-ffeb-4369-a772-2bf3af4e9285,NI
dc68b7d9-481c-4b93-b115-ef1d47f5f564,GB53HTZF60857893007823,755597.64,11012530-9300-43c3-8091-56143ef80d6e,TM
7b93817d-8da6-4d88-9571-91f521322287,GB81UPZH04968677201113,186113.58,f369558c-90d8-496a-ba19-e08bf99a4f4d,HT
5e6705c9-5d15-4409-97f4-1e243670562e,GB83ZJPK70672650781500,933326.4,dfda007e-8250-4963-bdeb-8a59963325ea,GW
8013a970-b746-4f3f-8834-7b7472474ada,GB33GOMP38515679068417,288300.53,d6bf74cb-81a6-4e2b-87eb-0e5a49b01e2f,QA
f1f9168f-fe16-427b-afaa-b41367f05623,GB51WSUG13632211327979,216752.08,dfaf56d8-57c4-43c1-ac25-57a7decb9d83,KI
7242ce43-aed7-4a57-8c24-08441c721407,GB22DYOB58988922954876,605460.41,a6f02298-f54b-4382-b597-6ce6fe9adb88,HR
ae594137-768d-45d6-bd26-26de5bb81e5c,GB30NMAM48158072744834,664105.35,bdd0a17f-427f-4e5e-94c2-3a4e1dcd3e90,NP
999fcfcb-1246-4d6a-8dcc-deec07e5800f,GB89SNLI59596119669295,693677.8,a99e2f64-a1e6-4160-8a4b-b223151f59d9,GY
656f8120-3d69-465d-936a-8d5bc034e260,GB61IDFX42133905439871,602130.71,5354c515-1008-42f9-b124-a79443b61311,BT
d0ef279d-29e8-41f6-a559-125584192563,GB40GGOE61122411430932,32732.33,5de3cbe6-52ac-4c02-83b5-2800fd46f64e,RO
be49fdfc-d5c4-45da-98a7-51cdbf24e2ce,GB34SUCV32948459345444,771843.29,354c005c-4d36-46a9-8c59-74f33ab1ca8e,NI
cc56cbde-c422-4cec-b5a1-c075a1e6e181,GB45IOFM43196931533966,138763.16,8f4d90c1-6dcb-4a23-a1b2-2ec0ab2350ea,WS
66bbbf1e-f455-4a86-9658-9c5242870d85,GB09SLAO65516145240375,898699.29,29c4609d-c46b-4bac-926f-3afc7bcce7b8,SD
cd72cdd5-e950-4ce4-ba96-31d7ba91167b,GB74FZPR15625935885844,860599.73,39deb459-a483-458b-aae0-c612dd94a2c5,GA
e943fce9-3e77-4c5b-869a-f48256db20ac,GB71BIAR41958252442335,553314.95,bc9bce2a-0604-4efa-bd42-a0260c5cc52e,BS
2b09e734-e02e-472e-a076-ed947a3d4914,GB11GJKS27315811839697,555202.36,f22780b0-7ef8-43ec-a0ee-6752135068a6,CO
d7f118d4-883e-440a-ae11-1295533d58c7,GB42XNRB04175565520761,148035.69,bf3b2eac-556f-49a1-a9fb-582ebdfdb05c,BT
27283a22-116a-41dd-a266-17884c0ce3f1,GB55DXBX00898110354984,30826.72,eea7d83c-2840-41d1-a37b-1719fd9d7756,ET
a07dc4fe-662b-49fe-8c40-36a8c876d781,GB66JEVY73820740876834,28947.72,18ee7ea2-eb4a-499f-babb-6c223f7f8cc7,RW
7735a73c-707c-4a55-9ea2-4a8f35c2c500,GB67CPLP00198670412634,589431.63,cfb47681-a933-416c-9108-372fc55b94f7,IQ
631e1c6f-3303-4b22-9e2c-8541e2da3102,GB50DGFL06720164846948,998447.79,368f7d60-6de8-4fec-8833-85a14a9f114f,GE
c6416f64-cc73-46cb-9c6b-4bac12490bd7,GB92OXQA09214438117591,219236.73,8afaa06a-0eeb-4a7d-afd3-10de3c6c76f9,PT
